library,version,version_url,cold_ms,warm_ms,run_url,last_updated,hardware,hardware_url
vllm,0.25.1,https://github.com/vllm-project/vllm/releases/tag/v0.25.1,18643,6870,https://github.com/netanel-haber/dash-dash-help/actions/runs/29495567843,2026-07-16T12:00Z,CPU: Core™ i7-8700K; GPU: 1x RTX 5060 Ti,
sglang,0.5.9,https://github.com/sgl-project/sglang/releases/tag/v0.5.9,14614,4444,https://github.com/netanel-haber/dash-dash-help/actions/runs/29495567843,2026-07-16T12:00Z,CPU: Core™ i7-8700K; GPU: 1x RTX 5060 Ti,
VLMEvalKit,v0.2,https://github.com/open-compass/VLMEvalKit/releases/tag/v0.2,14993,4480,https://github.com/netanel-haber/dash-dash-help/actions/runs/29495567843,2026-07-16T12:00Z,CPU: Core™ i7-8700K; GPU: 1x RTX 5060 Ti,
transformers,5.14.1,https://github.com/huggingface/transformers/releases/tag/v5.14.1,7657,2166,https://github.com/netanel-haber/dash-dash-help/actions/runs/29495567843,2026-07-16T12:00Z,CPU: Core™ i7-8700K; GPU: 1x RTX 5060 Ti,
tensorrt-llm,1.2.1,https://github.com/NVIDIA/TensorRT-LLM/releases/tag/v1.2.1,30726,10853,https://github.com/netanel-haber/dash-dash-help/actions/runs/29495567843,2026-07-16T12:00Z,CPU: Core™ i7-8700K; GPU: 1x RTX 5060 Ti,
datasets,5.0.0,https://github.com/huggingface/datasets/releases/tag/5.0.0,2709,694,https://github.com/netanel-haber/dash-dash-help/actions/runs/29495567843,2026-07-16T12:00Z,CPU: Core™ i7-8700K; GPU: 1x RTX 5060 Ti,
llm,0.31.1,https://github.com/simonw/llm/releases/tag/0.31.1,1451,646,https://github.com/netanel-haber/dash-dash-help/actions/runs/29495567843,2026-07-16T12:00Z,CPU: Core™ i7-8700K; GPU: 1x RTX 5060 Ti,
openai,2.34.0,https://github.com/openai/openai-python/releases/tag/v2.34.0,959,421,https://github.com/netanel-haber/dash-dash-help/actions/runs/29495567843,2026-07-16T12:00Z,CPU: Core™ i7-8700K; GPU: 1x RTX 5060 Ti,
langchain-cli,0.0.37,https://github.com/langchain-ai/langchain/releases/tag/langchain-cli==0.0.37,684,209,https://github.com/netanel-haber/dash-dash-help/actions/runs/29495567843,2026-07-16T12:00Z,CPU: Core™ i7-8700K; GPU: 1x RTX 5060 Ti,
hf,1.23.0,https://github.com/huggingface/huggingface_hub/releases/tag/v1.23.0,844,331,https://github.com/netanel-haber/dash-dash-help/actions/runs/29495567843,2026-07-16T12:00Z,CPU: Core™ i7-8700K; GPU: 1x RTX 5060 Ti,
lm-eval,0.4.12,https://github.com/EleutherAI/lm-evaluation-harness/releases/tag/v0.4.12,1396,229,https://github.com/netanel-haber/dash-dash-help/actions/runs/29495567843,2026-07-16T12:00Z,CPU: Core™ i7-8700K; GPU: 1x RTX 5060 Ti,
llama.cpp,b10042,https://github.com/ggml-org/llama.cpp/releases/tag/b10042,15,11,https://github.com/netanel-haber/dash-dash-help/actions/runs/29495567843,2026-07-16T12:00Z,CPU: Core™ i7-8700K; GPU: 1x RTX 5060 Ti,
ollama,0.32.0,https://github.com/ollama/ollama/releases/tag/v0.32.0,12,12,https://github.com/netanel-haber/dash-dash-help/actions/runs/29495567843,2026-07-16T12:00Z,CPU: Core™ i7-8700K; GPU: 1x RTX 5060 Ti,
tokenspeed,0.1.0@f3d14a8,https://github.com/lightseekorg/tokenspeed/commit/f3d14a8e6bb7cdd4799f8fe70b67e0e8aaadf47b,477,178,https://github.com/netanel-haber/dash-dash-help/actions/runs/29495567843,2026-07-16T12:00Z,CPU: Core™ i7-8700K; GPU: 1x RTX 5060 Ti,
